"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-11",100.7574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.7621,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.7579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.7296,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.6462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.4975,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.2745,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-06",99.95536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-07",99.56841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-08",99.16257,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-09",98.78379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-10",98.46725,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-11",98.23814,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2011-12",98.10522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-01",98.06105,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-02",98.07085,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-03",98.10294,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-04",98.14798,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-05",98.21947,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-06",98.34647,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-07",98.53531,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-08",98.75678,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-09",98.98743,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-10",99.20514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-11",99.39773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2012-12",99.57623,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-01",99.77571,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-02",100.0017,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-03",100.2591,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-04",100.5367,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-05",100.8174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-06",101.0936,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-07",101.3657,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-08",101.6016,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-09",101.7855,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-10",101.9136,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-11",102.0175,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2013-12",102.1176,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-01",102.2163,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-02",102.3031,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-03",102.3738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-04",102.4003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-05",102.3664,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-06",102.2716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-07",102.1336,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-08",101.9754,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-09",101.8066,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-10",101.6478,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-11",101.5067,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2014-12",101.4019,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-01",101.3427,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-02",101.328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-03",101.3322,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-04",101.3234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-05",101.2837,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-06",101.2116,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-07",101.0903,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-08",100.931,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-09",100.7489,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-10",100.5674,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-11",100.3932,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2015-12",100.2313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-01",100.0726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-02",99.94066,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-03",99.84961,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-04",99.7916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-05",99.77178,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-06",99.79797,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-07",99.8844,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-08",100.054,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-09",100.2685,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-10",100.46,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-11",100.61,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2016-12",100.7184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-01",100.7783,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-02",100.8104,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-03",100.8287,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-04",100.8506,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-05",100.8931,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-06",100.9201,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-07",100.9155,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-08",100.8723,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-09",100.7947,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-10",100.6659,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-11",100.5073,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.3489,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.2008,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.0703,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-03",99.95908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-04",99.86038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-05",99.74973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-06",99.57523,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-07",99.32126,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-08",98.99229,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-09",98.60912,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-10",98.23318,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-11",97.8951,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-12",97.62759,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",97.45841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",97.39162,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",97.39133,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",97.41967,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",97.44987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",97.45605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",97.43615,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",97.39619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",97.37852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",97.4379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",97.61713,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",97.91682,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.32912,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.84554,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",95.69971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",86.99841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",88.87775,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",94.65442,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",99.05889,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.04202,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.58717,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-10",98.16058,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-11",98.01087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-12",98.86555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-01",98.68662,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-02",99.52937,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-03",100.6184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-04",101.2654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-05",101.7398,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-06",102.0956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-07",102.2932,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-08",102.3433,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-09",102.2812,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-10",102.1372,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-11",101.8819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-12",101.4469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-01",100.7894,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-02",99.94477,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-03",99.03619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-04",98.2005,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-05",97.50053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-06",96.9508,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-07",96.55395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-08",96.30217,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-09",96.23382,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-10",96.40888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-11",96.78655,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-12",97.28546,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-01",97.84069,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-02",98.38721,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-03",98.84728,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-04",99.22129,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-05",99.50819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-06",99.72255,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-07",99.88969,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-08",100.0436,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.2221,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.1706,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.1667,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.2,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.2512,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.3154,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.3654,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.383,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.3642,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.3359,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.3237,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2005-12",100.3403,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-01",100.3917,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-02",100.4819,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-03",100.6091,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-04",100.7637,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-05",100.9134,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.022,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.086,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.1535,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.284,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.5096,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-11",101.841,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2006-12",102.2567,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-01",102.7384,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-02",103.2879,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-03",103.9167,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-04",104.5334,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-05",104.9929,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-06",105.1755,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-07",105.0511,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-08",104.721,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-09",104.2085,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-10",103.5658,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-11",102.8945,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2007-12",102.2408,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-01",101.5734,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-02",100.8575,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-03",100.1163,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-04",99.28402,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-05",98.33463,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-06",97.2958,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-07",96.23467,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-08",95.22166,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-09",94.35446,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-10",93.72149,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-11",93.39936,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2008-12",93.41374,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-01",93.76779,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-02",94.3943,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-03",95.19848,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-04",96.11773,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-05",97.11848,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-06",98.15633,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-07",99.13678,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-08",99.94125,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-09",100.5461,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-10",100.9832,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-11",101.2738,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2009-12",101.38,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-01",101.3205,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-02",101.1414,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-03",100.9125,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-04",100.6428,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-05",100.3539,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-06",100.1013,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-07",99.94633,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-08",99.90354,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-09",99.9584,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-10",100.0824,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-11",100.212,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.3116,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.3968,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.4723,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.5328,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.5457,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.5176,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-06",100.4436,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-07",100.3166,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-08",100.1299,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-09",99.91676,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-10",99.7155,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-11",99.56028,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2011-12",99.4639,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-01",99.4366,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-02",99.47015,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-03",99.52544,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-04",99.58551,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-05",99.66384,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-06",99.75141,
